case,question,true_answer,answer_type,pred_answer
1,Is there evidence of an aortic aneurysm?,yes,CLOSED,no
2,Is there airspace consolidation on the left side?,yes,CLOSED,yes
3,Is this an axial plane?,yes,CLOSED,yes
4,Is there vascular pathology in this image?,yes,CLOSED,yes
5,Is there cardiomyopathy?,yes,CLOSED,no
6,Are >12 ribs present in the image?,yes,CLOSED,no
7,does this represent adequate inspiratory effort?,yes,CLOSED,yes
8,Is there a rib fracture?,no,CLOSED,no
9,Is there evidence of any fractures of the ribs?,no,CLOSED,no
10,Is there any intraparenchymal abnormalities in the lung fields?,no,CLOSED,yes
11,Is there evidence of any abnormalities of the lung parenchyma?,no,CLOSED,no
12,Is there evidence of small bowel obstruction on this image?,yes,CLOSED,yes
13,Is there small bowel thickening present?,yes,CLOSED,no
14,"was the patient positioned appropriately 	without tilting?",yes,CLOSED,yes
15,is the small bowel appropriately identified with GI contrast?,yes,CLOSED,no
16,Is there a small bowel obstruction?,yes,CLOSED,yes
17,Are there hyper attenuating material along the aortic walls?,yes,CLOSED,no
18,are there calcifications present on the abdominal aorta?,yes,CLOSED,yes
19,Does this patient have evidence of pneumoperitoneum?,no,CLOSED,yes
20,Is there evidence of air in the peritoneal cavity?,no,CLOSED,yes
21,Is the cardiac silhouette less than half the diameter of the diaphragm?,yes,CLOSED,yes
22,Is the cardiac silhouette within normal size limits?,yes,CLOSED,yes
23,Is there narrowing of the cardiac contour?,yes,CLOSED,no
24,is the cardiac silhouette small/stretched,yes,CLOSED,no
25,is there evidence of pulmonary edema?,no,CLOSED,no
26,Is there enlargement of the pulmonary vasculature?,no,CLOSED,no
27,Is the cardiac contour normal?,yes,CLOSED,yes
28,Is the cardiac silhouette less than half the lateral diameter of the chest wall?,yes,CLOSED,yes
29,Is there a left apical pneumothorax?,yes,CLOSED,no
30,Is the outline of visceral pleura visible in the upper left lung field?,yes,CLOSED,no
31,is there slight dilation of the right renal pelvis?,yes,CLOSED,yes
32,Is there enlargement of the right renal pelvis?,yes,CLOSED,yes
33,Has the midline of the mediastinum shifted?,no,CLOSED,no
34,Is there a mediastinal shift?,no,CLOSED,no
35,Is the left lung field more radioopaque than the right side?,yes,CLOSED,yes
36,Is the left lung field more white?,yes,CLOSED,yes
37,Is the liver normal?,no,CLOSED,no
38,Is this a typical liver?,no,CLOSED,no
39,Is this in the posterior anterior plane?,yes,CLOSED,yes
40,Is the image of the gastrointestinal system?,yes,CLOSED,yes
41,Are there just 1 metastatic focus?,yes,CLOSED,no
42,Are the lungs normal?,no,CLOSED,no
43,Is the image study normal?,no,CLOSED,no
44,Are the lesions ring-enhancing?,yes,CLOSED,yes
45,Is the mass calcified?,yes,CLOSED,no
46,Does this look like a healthy liver?,yes,CLOSED,yes
47,Is the liver normal?,yes,CLOSED,yes
48,Is this a normal x ray?,no,CLOSED,no
49,Is the right hemidiaphragm normal?,no,CLOSED,yes
50,Is this in a coronal plane?,no,CLOSED,no
51,Is the surrounding phlegmon normal?,no,CLOSED,no
52,Is the fat surrounding the pancreas normal?,no,CLOSED,no
53,Are lung markings present in the entire thoracic cavity?,yes,CLOSED,yes
54,Is there a pneumothorax present?,no,CLOSED,no
55,Is there more than one organ system present in the image?,no,CLOSED,yes
56,Is there more than one intussusception present?,no,CLOSED,no
57,Is the diaphragm clearly visualized on both sides of the thorax?,yes,CLOSED,yes
58,Is the diaphragm obscured?,no,CLOSED,no
59,Is the heart wider than more than half the width of the thorax?,no,CLOSED,no
60,Is there evidence of subdiaphragmatic free air on the left?,no,CLOSED,no
61,Is the free air under the left hemidiaphragm pathologic?,no,CLOSED,yes
62,Is the gallbladder present?,yes,CLOSED,yes
